Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Population ages 0-14, male [SP.POP.0014.MA.IN]","Population ages 0-14, female [SP.POP.0014.FE.IN]","Population ages 0-14, total [SP.POP.0014.TO]","Population, male (% of population, ages 0-14)","Population, female (% of population, ages 0-14)"
2023,YR2023,Afghanistan,AFG,41454761,50.47448712,49.52551288,9164057,8755262,17919319,51.1406544,48.8593456
2023,YR2023,Africa Eastern and Southern,AFE,750503764,49.4971556,50.5028444,153529033,150939629,304468664,50.42523292,49.57476642
2023,YR2023,Africa Western and Central,AFW,509398589,50.35333137,49.64666863,107748208,104767561,212515766,50.70127738,49.29872403
2023,YR2023,Albania,ALB,2745972,49.44077421,50.55922579,243783,224185,467968,52.09394659,47.90605341
2023,YR2023,Algeria,DZA,46164219,51.01187677,48.98812323,7218859,6925557,14144415,51.03681559,48.96319148
2023,YR2023,American Samoa,ASM,47521,50.50713354,49.49286646,6580,6494,13074,50.32889705,49.67110295
2023,YR2023,Andorra,AND,80856,51.14524587,48.85475413,5063,4840,9903,51.12592144,48.87407856
2023,YR2023,Angola,AGO,36749906,49.47411294,50.52588706,8232452,8147813,16380266,50.25835356,49.74164034
2023,YR2023,Antigua and Barbuda,ATG,93316,47.58934791,52.41065209,8625,8375,17000,50.73529412,49.26470588
2023,YR2023,Arab World,ARB,481667539,51.72390786,48.27609214,80533026,77155503,157688530,51.07094727,48.9290521
2023,YR2023,Argentina,ARG,45538401,49.62182246,50.37817754,5187490,4917781,10105270,51.3345017,48.6655082
2023,YR2023,Armenia,ARM,2990900,46.38772328,53.61227672,303434,281148,584581,51.90623712,48.09393395
2023,YR2023,Aruba,ABW,107359,47.23038012,52.76961988,9406,9044,18450,50.98102981,49.01897019
2023,YR2023,Australia,AUS,26658948,49.61473661,50.38526339,2470306,2336378,4806684,51.39314338,48.60685662
2023,YR2023,Austria,AUT,9131761,49.22041451,50.77958549,671643,634439,1306083,51.42422036,48.57570308
2023,YR2023,Azerbaijan,AZE,10153958,49.00053856,50.99946144,1194130,1074715,2268845,52.63162534,47.36837466
2023,YR2023,"Bahamas, The",BHS,399440,47.79404217,52.20595783,37034,36177,73210,50.58598552,49.41538041
2023,YR2023,Bahrain,BHR,1577059,62.07668515,37.92331485,152702,146811,299513,50.98342977,49.01657023
2023,YR2023,Bangladesh,BGD,171466990,49.19763915,50.80236085,25134853,23494698,48629551,51.68637687,48.31362313
2023,YR2023,Barbados,BRB,282336,47.94446314,52.05553686,25111,24260,49372,50.8608118,49.13716276
2023,YR2023,Belarus,BLR,9178298,46.60374212,53.39625788,787686,742821,1530507,51.46569078,48.53430922
2023,YR2023,Belgium,BEL,11787423,49.29235672,50.70764328,981813,938446,1920259,51.12919663,48.87080337
2023,YR2023,Belize,BLZ,411106,50.47043828,49.52956172,56778,54190,110968,51.16610194,48.83389806
2023,YR2023,Benin,BEN,14111034,50.13527003,49.86472997,2991927,2911603,5903530,50.68030483,49.31969517
2023,YR2023,Bermuda,BMU,64698,48.96520812,51.03479188,4606,4373,8979,51.29747188,48.70252812
2023,YR2023,Bhutan,BTN,786385,53.49580676,46.50419324,87620,81150,168770,51.91680986,48.08319014
2023,YR2023,Bolivia,BOL,12244159,50.11149398,49.88850602,1877407,1813276,3690683,50.86882293,49.13117707
2023,YR2023,Bosnia and Herzegovina,BIH,3185073,47.55517377,52.44482623,217904,203160,421064,51.75080273,48.24919727
2023,YR2023,Botswana,BWA,2480244,49.87287541,50.12712459,403108,397546,800654,50.34734105,49.65265895
2023,YR2023,Brazil,BRA,211140729,49.21507162,50.78492838,21470798,20622116,42092915,51.00810433,48.99189329
2023,YR2023,British Virgin Islands,VGB,38985,47.23098628,52.76901372,2996,2906,5902,50.76245341,49.23754659
2023,YR2023,Brunei Darussalam,BRN,458949,53.14066082,46.85933918,50130,46361,96491,51.95303189,48.04696811
2023,YR2023,Bulgaria,BGR,6446596,48.39798917,51.60201083,481418,455801,937219,51.36664963,48.63335037
2023,YR2023,Burkina Faso,BFA,23025776,49.80836694,50.19163306,4957142,4806075,9763217,50.77365381,49.22634619
2023,YR2023,Burundi,BDI,13689450,49.67310593,50.32689407,3122491,3087693,6210184,50.28016883,49.71983117
2023,YR2023,Cabo Verde,CPV,522331,50.86631057,49.13368943,70811,66932,137743,51.40805703,48.59194297
2023,YR2023,Cambodia,KHM,17423880,48.97847385,51.02152615,2679088,2567339,5246427,51.065001,48.934999
2023,YR2023,Cameroon,CMR,28372687,49.83872342,50.16127658,5968170,5880422,11848591,50.37029297,49.62971547
2023,YR2023,Canada,CAN,40097761,49.65908383,50.34091617,3139905,2996874,6136779,51.1653589,48.8346411
2023,YR2023,Caribbean small states,CSS,3152394,49.1591783,50.8408217,383044,370819,753862,50.81089112,49.18924153
2023,YR2023,Cayman Islands,CYM,73038,50.2149566,49.7850434,6018,5883,11901,50.56717923,49.43282077
2023,YR2023,Central African Republic,CAF,5152421,47.89259263,52.10740737,1276927,1256335,2533262,50.4064325,49.5935675
2023,YR2023,Central Europe and the Baltics,CEB,100175859,48.45530927,51.54469073,7827222,7433281,15260501,51.29072761,48.70928549
2023,YR2023,Chad,TCD,19319064,50.16386405,49.83613595,4576898,4452287,9029184,50.69005128,49.30995979
2023,YR2023,Channel Islands,CHI,167691,49.391742,50.608258,12349,11793,24141,51.15363904,48.85050329
2023,YR2023,Chile,CHL,19658835,49.69853759,50.30146241,1741074,1676484,3417559,50.94495808,49.05501266
2023,YR2023,China,CHN,1410710000,50.97926122,49.02073878,125009291,109022006,234031297,53.41562971,46.58437029
2023,YR2023,Colombia,COL,52321152,49.34630644,50.65369356,5500279,5276751,10777030,51.03705752,48.96294248
2023,YR2023,Comoros,COM,850387,50.29439538,49.70560462,161337,156719,318057,50.7258133,49.27387229
2023,YR2023,"Congo, Dem. Rep.",COD,105789731,49.61150956,50.38849044,24429256,24327420,48756676,50.10443288,49.89556712
2023,YR2023,"Congo, Rep.",COG,6182885,49.99655501,50.00344499,1274989,1252803,2527792,50.43884149,49.56115851
2023,YR2023,Costa Rica,CRI,5105525,49.41965812,50.58034188,504012,482936,986948,51.06773609,48.93226391
2023,YR2023,Cote d'Ivoire,CIV,31165654,50.92026306,49.07973694,6509759,6354308,12864067,50.60420627,49.39579373
2023,YR2023,Croatia,HRV,3859686,48.22089089,51.77910911,280808,264896,545704,51.45793324,48.54206676
2023,YR2023,Cuba,CUB,11019931,49.35548145,50.64451855,882018,827611,1709630,51.591163,48.40877851
2023,YR2023,Curacao,CUW,147862,47.56480987,52.43519013,11479,11059,22538,50.93175969,49.06824031
2023,YR2023,Cyprus,CYP,1344976,50.38019294,49.61980706,111229,104693,215921,51.51374808,48.48671505
2023,YR2023,Czechia,CZE,10864042,49.30936675,50.69063325,871477,831314,1702790,51.17935858,48.82070015
2023,YR2023,Denmark,DNK,5946952,49.70542032,50.29457968,484413,459187,943600,51.33668928,48.66331072
2023,YR2023,Djibouti,DJI,1152944,49.57764608,50.42235392,172475,168503,340979,50.58229392,49.4174128
2023,YR2023,Dominica,DMA,66510,50.06465193,49.93534807,6020,6025,12045,49.9792445,50.0207555
2023,YR2023,Dominican Republic,DOM,11331265,49.72553817,50.27446183,1554392,1495305,3049697,50.96873558,49.03126442
2023,YR2023,Early-demographic dividend,EAR,3511076811,50.71917826,49.28082174,500665212,471511631,972176836,51.49939738,48.50060334
2023,YR2023,East Asia & Pacific,EAS,2384463611,50.45985173,49.54014827,231663940,210203862,441867798,52.4283374,47.5716635
2023,YR2023,East Asia & Pacific (excluding high income),EAP,2137527754,50.60814339,49.39185661,215926520,195316126,411242643,52.50586817,47.49413256
2023,YR2023,East Asia & Pacific (IDA & IBRD countries),TEA,2111139152,50.62294007,49.37705993,213357627,192878501,406236126,52.52059414,47.47940635
2023,YR2023,Ecuador,ECU,17980083,49.86045393,50.13954607,2295029,2200835,4495864,51.04756283,48.95243717
2023,YR2023,"Egypt, Arab Rep.",EGY,114535772,50.491288,49.508712,19018870,18130945,37149814,51.19506117,48.80494153
2023,YR2023,El Salvador,SLV,6309624,47.50180042,52.49819958,817546,773135,1590681,51.39597443,48.60402557
2023,YR2023,Equatorial Guinea,GNQ,1847549,52.76596182,47.23403818,349134,343408,692541,50.41347732,49.58666707
2023,YR2023,Eritrea,ERI,3470390,49.3467447,50.6532553,677703,664555,1342258,50.48977171,49.51022829
2023,YR2023,Estonia,EST,1370286,47.49750584,52.50249416,112364,106447,218811,51.35208011,48.64791989
2023,YR2023,Eswatini,SWZ,1230506,49.08679844,50.91320156,208135,206164,414299,50.23787168,49.76212832
2023,YR2023,Ethiopia,ETH,128691692,50.10903268,49.89096732,25814544,24845761,50660304,50.95615692,49.04384506
2023,YR2023,Euro area,EMU,349670802,48.95235268,51.04764732,25781399,24464120,50245519,51.31084227,48.68915773
2023,YR2023,Europe & Central Asia,ECS,924969865,48.56268197,51.43731803,83522931,79283770,162806696,51.30190161,48.69810146
2023,YR2023,Europe & Central Asia (excluding high income),ECA,249146208,48.89630184,51.10369816,29630153,28150857,57781007,51.28009105,48.71991414
2023,YR2023,Europe & Central Asia (IDA & IBRD countries),TEC,459025452,48.05844744,51.94155256,47717775,45301854,93019626,51.29860982,48.7013934
2023,YR2023,European Union,EUU,448804042,48.91322129,51.08677871,33658579,31942144,65600722,51.30824475,48.69175678
2023,YR2023,Faroe Islands,FRO,54482,51.7189699,48.2810301,5628,5354,10982,51.2474959,48.7525041
2023,YR2023,Fiji,FJI,924145,49.6298741,50.3701259,128525,124554,253080,50.78433697,49.2152679
2023,YR2023,Finland,FIN,5583911,49.41840889,50.58159111,426343,407615,833958,51.12283832,48.87716168
2023,YR2023,Fragile and conflict affected situations,FCS,1058789534,49.89430512,50.10569488,210708781,204492560,415201338,50.74857948,49.25142125
2023,YR2023,France,FRA,68287487,48.46908105,51.53091895,5866425,5595478,11461903,51.18194596,48.81805404
2023,YR2023,French Polynesia,PYF,281118,50.6036611,49.3963389,28649,26825,55474,51.64401341,48.35598659
2023,YR2023,Gabon,GAB,2484789,50.79874017,49.20125983,458007,452971,910978,50.27640624,49.72359376
2023,YR2023,"Gambia, The",GMB,2697845,49.79011025,50.20988975,555027,543828,1098855,50.50957588,49.49042412
2023,YR2023,Georgia,GEO,3715483,46.60303948,53.39696052,403049,378719,781768,51.55608825,48.44391175
2023,YR2023,Germany,DEU,83280000,49.3751809,50.6248191,5950761,5638126,11588887,51.34885688,48.65114312
2023,YR2023,Ghana,GHA,33787914,49.95142642,50.04857358,6187036,6037066,12224102,50.61341929,49.38658071
2023,YR2023,Gibraltar,GIB,38471,49.76475787,50.23524213,3526,3320,6845,51.51205259,48.50255661
2023,YR2023,Greece,GRC,10405588,48.43541502,51.56458498,726451,687337,1413788,51.38330499,48.61669501
2023,YR2023,Greenland,GRL,56865,52.64381382,47.35618618,6079,5750,11830,51.386306,48.60524091
2023,YR2023,Grenada,GRD,117081,50.17637362,49.82362638,11849,11388,23236,50.99414701,49.01015665
2023,YR2023,Guam,GUM,166506,50.69876942,49.30123058,22346,20979,43325,51.57761108,48.42238892
2023,YR2023,Guatemala,GTM,18124838,49.59499224,50.40500776,2955290,2869625,5824915,50.73533262,49.26466738
2023,YR2023,Guinea,GIN,14405468,49.44326002,50.55673998,3013263,2927975,5941238,50.71776286,49.28223714
2023,YR2023,Guinea-Bissau,GNB,2153339,49.40213752,50.59786248,427757,417264,845021,50.62087214,49.37912786
2023,YR2023,Guyana,GUY,826353,48.70279408,51.29720592,122955,119358,242313,50.74222184,49.25777816
2023,YR2023,Haiti,HTI,11637398,49.50924597,50.49075403,1852090,1822092,3674182,50.40822692,49.59177308
2023,YR2023,Heavily indebted poor countries (HIPC),HPC,917304254,49.84359857,50.15640143,193834308,189410958,383245264,50.57709154,49.42290898
2023,YR2023,High income,HIC,1400465513,49.62751894,50.37248106,114079451,108338485,222417931,51.29058187,48.70942037
2023,YR2023,Honduras,HND,10644851,50.3501646,49.6498354,1688693,1610801,3299494,51.18036281,48.81963719
2023,YR2023,"Hong Kong SAR, China",HKG,7536100,45.07912012,54.92087988,410174,396116,806289,50.8718338,49.12829023
2023,YR2023,Hungary,HUN,9592186,47.98530692,52.01469308,713668,675804,1389472,51.36253195,48.63746805
2023,YR2023,IBRD only,IBD,..,..,..,..,..,..,..,..
2023,YR2023,Iceland,ISL,393349,51.19982041,48.80017959,36500,34523,71023,51.39180266,48.60819734
