"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6557832225135","23.5100196493531","23.6443243922349","23.7303408004698","23.879183171674","24.1909079980294","24.3317950526897","24.4398064440167","24.6799892580129","24.7268862864929","24.8167609288","24.926010694604","25.1165816018587","25.5178847177774","25.8566191514252","26.5654566036054","27.1787021109587","28.0291464919762","28.4584974201103","28.9775493890457","29.5590947142035","30.1577178276388","30.4595888599951","31.1319567645065","31.6653566550647","32.2239241795779","32.734539458213","33.4900629353008","34.3678407954373","33.7523070957365","33.657947670688","34.2430316042853","34.2496250784257",
"Afghanistan","AFG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9732500927863","22.9914989280908","23.0050632488544","22.996234601456","23.2493603007314","23.4592123792734","23.6961929720491","23.969057216425","24.2866160805861","24.6633086793447","25.1407582745724","25.7994133877636","26.1780191154458","26.7211786456983","27.0686895592949","27.4715180629631","27.9491912884999","28.5700814072759","29.3653343305222","30.5789999416902","31.3924517981469","32.4116862760608","32.742506431392","33.1546710737101","34.8883669755449","36.3345227913483","37.9845127779713","37.4440687045249","36.7342755273329","35.5352768489725","35.5225263379821","35.8666180522693","36.1492763095089",
"Africa Western and Central","AFW","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6841716296301","30.9005040306366","31.0843631859957","31.3416163750694","31.5867049296191","31.9297907984614","32.3368625972002","32.8295784204392","33.300135480798","33.805985164902","34.3521807234568","34.7198269492937","35.3647785298112","36.1242411161628","36.8477129599191","37.5470492437246","38.4053736453052","39.2786775526747","40.1116750411422","41.1238555627646","41.7260835039441","42.2928150850942","42.7050182317671","43.3024306069267","43.7519220970521","43.5173570997131","43.4349748788714","43.6484411379098","43.5104040169765","43.0324885250582","43.0374631175243","43.6407247985472","43.9059981921975",
"Angola","AGO","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.8562032077965","51.8802039696134","51.7994259990084","51.9549342310085","52.3427773095436","52.7535184242991","53.0761600361246","53.3669349309214","53.617661195182","53.9015935818594","54.1064839721931","54.5054497360649","54.5590402087107","54.7381753202129","52.8341355527705","50.8289064079297","48.9091291808773","46.9134493068762","44.9127592164448","42.9744066390687","40.637847854265","38.5202083258212","36.3667353890888","34.3101290206443","35.3667395475618","36.35619257764","37.4512688121931","38.5403312309149","39.6661921801532","38.6096759123848","37.5749232671796","38.0933174707054","38.2035079641181",
"Albania","ALB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4225122043102","35.687637505253","35.7778430653383","35.9149395451728","36.039356777267","36.4266022531797","36.9429853519952","37.2487036298365","37.4611483266934","37.6728231028658","37.8591964574215","38.0090518303186","38.2807495195388","37.6043681370459","38.193060448031","38.5326623193046","38.1464436747737","37.5661231004487","36.0076389494608","37.3226875365474","35.7473290978612","36.7290445959988","38.9240438635555","40.0028886757081","40.0466884385414","40.5793641215085","42.5404033770791","42.968624648103","43.4325082220421","43.093531370174","43.0712501680717","43.6348228140137","43.9222575520457",
"Andorra","AND","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.7834753152823","44.5591295137511","45.49480457248","45.8630105830701","46.335209821524","46.7985719165427","47.4178960476402","48.0753876203919","48.7217523604111","49.1426954362653","50.109627540924","51.0500162760758","51.3904241665109","51.0214706828827","51.2820040452218","51.6327390166106","51.7178925855031","52.0140921707331","52.5989421702057","52.837788116916","53.8559732871958","54.6001494640316","55.0367756403118","55.4078770119428","56.1375978916811","56.2725964953821","56.0911527010061","57.130197086151","57.5840787147521","58.1623005707876","58.857462734179","59.6984853043061","61.1715059507671",
"United Arab Emirates","ARE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3716962258519","61.5672711137617","61.7548492096515","62.0964091939873","62.3950892774403","62.5408344704958","62.5121861241089","62.5087383309","62.7693677792818","63.1652679141428","63.8141395640503","64.6059440047377","65.0444564272851","65.7419101647382","66.5161936490901","68.4568696386243","69.9355736207329","71.3469665971113","70.0641290073397","69.7495370413452","69.661243685505","69.3251209738644","68.6818772775161","67.8252350706458","66.4507664217466","65.5932780519309","64.8845287707225","63.939363137555","68.914063009954","70.6398185927612","68.9142718548429","69.2910148112438","69.0146178113015",
"Argentina","ARG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.1054043567666","66.6527476341813","69.271917734665","70.395632998478","71.852260838115","73.9199305039008","73.3753517083142","74.0718752150204","75.2988707468801","76.2350268110751","76.9664059375007","78.7307786581781","77.1028317872127","76.2156126308423","75.7341395849249","75.4111458126049","75.1916843030994","75.0828585343358","75.9228583500317","75.7897493172971","74.9692977655126","75.3133156248632","74.991119239425","74.6665886191414","75.8504300535629","76.6888560384782","76.6004079422489","76.9915767366977","77.2127001951701","76.8432132982128","77.3512645708267","76.6551825067954","76.414850873835",
